date | value
2011-01-03 | 3
2011-01-03 | 2
2011-01-03 | 1
2011-01-03 | 1.2
2011-01-09 | 1
2012-01-11 | -1
2001-42-42
2012-01-11 | abc
2012-01-11 | 2147483648

date | value
2011-01-03 | 1
2012-01-11 | 1
2012-03-01 | 1.5
2012-01-11 | 0.5
2012-01-11 | 0.001
2012-01-11 | 999.999
2012-01-11 | 0
2012-01-11 | 1000
2009-01-02 | 1
2022-03-29 | 1
2025-01-01 | 1
2012-01-11 | -1
2012-01-11 | -0.5
2012-01-11 | -1000
2012-01-11 | 1001
2012-01-11 | 2147483648
2012-01-11 | 999999999999
2012-01-11 | 1e10
2012-01-11 1
2012-01-11 |
 | 1
|
2012-01-11
42

   
hello world
2012-01-11 | 
2012/01/11 | 1
2012.01.11 | 1
12-01-11 | 1
20121-01-11 | 1
2012-1-11 | 1
2012-01-1 | 1
2012-ab-11 | 1
2012-13-01 | 1
2012-00-01 | 1
2012-01-32 | 1
2012-01-00 | 1
2012-02-30 | 1
2012-04-31 | 1
2012-06-31 | 1
2012-09-31 | 1
2012-11-31 | 1
2011-02-29 | 1
2012-02-29 | 1
1900-02-29 | 1
2000-02-29 | 1
2009-01-01 | 1
2000-01-01 | 1
-2012-01-01 | 1
2012-01-11 | 007
2012-01-11 | .5
2012-01-11 | 5.
2012-01-11 | 1.2.3
2012-01-11 | abc
2012-01-11 | 12abc
2012-01-11 | +
2012-01-11 | -
2012-01-11 | +5
2012-01-11 | 1 2
  2012-01-11   | 1
2012-01-11 |   1   
2012-01-11	|	1
2012-01-11|1
2012-01-11 | 5
2015-01-01 | 10
